757,796,Offa
802,839,Egbert 
839,856,Aethelwulf
856,860,Aethelbald
860,866,Aethelbert
866,871,Aethelred I
871,899,Alfred the Great
899,925,Edward the Elder
925,940,Athelstan
940,946,Edmund
946,955,Edred
955,959,Edwy
959,975,Edgar
975,978,Edward the Martyr
978,1016,Ethelred II the Unready
1016,1016,Edmund lronside
1016,1035,Cnut (Canute)
1035,1040,Harold I Harefoot
1040,1042,Harthacanut
1042,1066,Edward the Confessor 
1066,1066,Harold II
1066,1087,William I
1087,1100,William II
1100,1135,Henry I
1135,1154,Stephen
1154,1189,Henry II 
1189,1199,Richard I
1199,1216,John
1216,1272,Henry III
1272,1307,Edward I
1307,1327,Edward II
1327,1377,Edward III
1377,1399,Richard II
1399,1413,Henry IV
1413,1422,Henry V
1422,1461,Henry VI 
1461,1483,Edward IV
1483,1483,Edward V 
1483,1485,Richard III
1485,1509,Henry VII
1509,1547,Henry VIII
1547,1553,Edward VI
1553,1558,Mary I
1558,1603,Elizabeth I
1603,1625,James I
1625,1649,Charles I 
1649,1653,Commonwealth
1653,1658,Oliver Cromwell
1658,1659,Richard Cromwell
1660,1685,Charles II
1685,1688,James II
1689,1694,William III of Orange and Mary II (jointly)
1694,1702,William III (alone) 
1702,1714,Anne
1714,1727,George I
1727,1760,George II
1760,1820,George III
1820,1830,George IV
1830,1837,William IV
1837,1901,Victoria
1901,1910,Edward VII
1910,1936,George V
1936,1936,Edward VIII
1936,1952,George VI
1952,to date,Elizabeth II
